timestamp,value,classification,date
1532151000,43,Fear,1970-01-01
1532237400,46,Neutral,1970-01-01
1532323800,44,Fear,1970-01-01
1532410200,49,Neutral,1970-01-01
1532496600,54,Neutral,1970-01-01
1532583000,53,Neutral,1970-01-01
1532669400,47,Neutral,1970-01-01
1532755800,54,Neutral,1970-01-01
1532842200,54,Neutral,1970-01-01
1532928600,53,Neutral,1970-01-01
1533015000,48,Neutral,1970-01-01
1533101400,39,Fear,1970-01-01
1533187800,39,Fear,1970-01-01
1533274200,36,Fear,1970-01-01
1533360600,31,Fear,1970-01-01
1533447000,23,Extreme Fear,1970-01-01
1533533400,25,Fear,1970-01-01
1533619800,25,Fear,1970-01-01
1533706200,23,Extreme Fear,1970-01-01
1533792600,19,Extreme Fear,1970-01-01
1533879000,21,Extreme Fear,1970-01-01
1533965400,18,Extreme Fear,1970-01-01
1534051800,18,Extreme Fear,1970-01-01
1534138200,21,Extreme Fear,1970-01-01
1534224600,16,Extreme Fear,1970-01-01
1534311000,18,Extreme Fear,1970-01-01
1534397400,21,Extreme Fear,1970-01-01
1534483800,19,Extreme Fear,1970-01-01
1534570200,24,Extreme Fear,1970-01-01
1534656600,27,Fear,1970-01-01
1534743000,26,Fear,1970-01-01
1534829400,19,Extreme Fear,1970-01-01
1534915800,21,Extreme Fear,1970-01-01
1535002200,18,Extreme Fear,1970-01-01
1535088600,19,Extreme Fear,1970-01-01
1535175000,22,Extreme Fear,1970-01-01
1535261400,19,Extreme Fear,1970-01-01
1535347800,18,Extreme Fear,1970-01-01
1535434200,19,Extreme Fear,1970-01-01
1535520600,19,Extreme Fear,1970-01-01
1535607000,22,Extreme Fear,1970-01-01
1535693400,17,Extreme Fear,1970-01-01
1535779800,21,Extreme Fear,1970-01-01
1535866200,18,Extreme Fear,1970-01-01
1535952600,19,Extreme Fear,1970-01-01
1536039000,26,Fear,1970-01-01
1536125400,17,Extreme Fear,1970-01-01
1536211800,14,Extreme Fear,1970-01-01
1536298200,17,Extreme Fear,1970-01-01
1536384600,18,Extreme Fear,1970-01-01
1536471000,13,Extreme Fear,1970-01-01
1536557400,15,Extreme Fear,1970-01-01
1536643800,18,Extreme Fear,1970-01-01
1536730200,14,Extreme Fear,1970-01-01
1536816600,20,Extreme Fear,1970-01-01
1536903000,23,Extreme Fear,1970-01-01
1536989400,24,Extreme Fear,1970-01-01
1537075800,28,Fear,1970-01-01
1537162200,25,Fear,1970-01-01
1537248600,21,Extreme Fear,1970-01-01
1537335000,24,Extreme Fear,1970-01-01
1537421400,24,Extreme Fear,1970-01-01
1537507800,31,Fear,1970-01-01
1537594200,35,Fear,1970-01-01
